key,name,date,value
5,South Shore,1990,1681954
5,South Shore,1991,1630175
5,South Shore,1992,1647898
5,South Shore,1993,1577383
5,South Shore,1994,1754528
5,South Shore,1995,2467983
5,South Shore,1996,2725692
5,South Shore,1997,2432296
5,South Shore,1998,1776373
5,South Shore,1999,1863806
5,South Shore,2000,2431640
5,South Shore,2001,2980564
2,Uptown,1990,589269
2,Uptown,1991,600417
2,Uptown,1992,597661
2,Uptown,1993,574617
2,Uptown,1994,807196
2,Uptown,1995,1203544
2,Uptown,1996,1318918
2,Uptown,1997,966215
2,Uptown,1998,677941
2,Uptown,1999,682110
2,Uptown,2000,959305
2,Uptown,2001,1062466
4,Washington Heights,1990,3895758
4,Washington Heights,1991,3912967
4,Washington Heights,1992,3608003
4,Washington Heights,1993,3463065
4,Washington Heights,1994,4575094
4,Washington Heights,1995,7019983
4,Washington Heights,1996,6852536
4,Washington Heights,1997,4862298
4,Washington Heights,1998,3956551
4,Washington Heights,1999,4254431
4,Washington Heights,2000,6471878
4,Washington Heights,2001,6025685
8,Washington Park,1990,65924
8,Washington Park,1991,70653
8,Washington Park,1992,74255
8,Washington Park,1993,69014
8,Washington Park,1994,82751
8,Washington Park,1995,102294
8,Washington Park,1996,122548
8,Washington Park,1997,131787
8,Washington Park,1998,94144
8,Washington Park,1999,92068
8,Washington Park,2000,121436
8,Washington Park,2001,143243
6,West Elsdon,1990,1514255
6,West Elsdon,1991,1612830
6,West Elsdon,1992,1416086
6,West Elsdon,1993,1377943
6,West Elsdon,1994,1779534
6,West Elsdon,1995,3045394
6,West Elsdon,1996,3679825
6,West Elsdon,1997,3568672
6,West Elsdon,1998,1869317
6,West Elsdon,1999,1584545
6,West Elsdon,2000,1879154
6,West Elsdon,2001,2440256
8,West Englewood,1990,2836211
8,West Englewood,1991,2853663
8,West Englewood,1992,2645705
8,West Englewood,1993,2606793
8,West Englewood,1994,2948720
8,West Englewood,1995,3871048
8,West Englewood,1996,4256890
8,West Englewood,1997,3875447
8,West Englewood,1998,2901114
8,West Englewood,1999,3098259
8,West Englewood,2000,4257058
8,West Englewood,2001,5000594
9,West Garfield Park,1990,276607
9,West Garfield Park,1991,361070
9,West Garfield Park,1992,367084
9,West Garfield Park,1993,330662
9,West Garfield Park,1994,350626
9,West Garfield Park,1995,421046
9,West Garfield Park,1996,550303
9,West Garfield Park,1997,541963
9,West Garfield Park,1998,465258
9,West Garfield Park,1999,359350
9,West Garfield Park,2000,472210
9,West Garfield Park,2001,679233
5,West Lawn,1990,3174207
5,West Lawn,1991,2981549
5,West Lawn,1992,2960912
5,West Lawn,1993,2822540
5,West Lawn,1994,4082920
5,West Lawn,1995,6486241
5,West Lawn,1996,7574645
5,West Lawn,1997,5970525
5,West Lawn,1998,3569628
5,West Lawn,1999,3179880
5,West Lawn,2000,4140956
5,West Lawn,2001,5134469
6,West Pullman,1990,2208287
6,West Pullman,1991,3607984
6,West Pullman,1992,3436214
6,West Pullman,1993,3610056
6,West Pullman,1994,4044485
6,West Pullman,1995,5010362
6,West Pullman,1996,6582320
6,West Pullman,1997,6247638
6,West Pullman,1998,4453040
6,West Pullman,1999,3982551
6,West Pullman,2000,4763965
6,West Pullman,2001,6333648
4,West Ridge,1990,3143685
4,West Ridge,1991,3079706
4,West Ridge,1992,3016129
4,West Ridge,1993,3336033
4,West Ridge,1994,4623462
4,West Ridge,1995,6820288
4,West Ridge,1996,6786269
4,West Ridge,1997,4893601
4,West Ridge,1998,3311901
4,West Ridge,1999,3390303
4,West Ridge,2000,4704247
4,West Ridge,2001,4758738
1,West Town,1990,2170748
1,West Town,1991,2425007
1,West Town,1992,2206951
1,West Town,1993,2236376
1,West Town,1994,2838452
1,West Town,1995,3960961
1,West Town,1996,5012785
1,West Town,1997,4893234
1,West Town,1998,3468993
1,West Town,1999,2784487
1,West Town,2000,3305007
1,West Town,2001,4326340
5,Woodlawn,1990,351503
5,Woodlawn,1991,338283
5,Woodlawn,1992,328559
5,Woodlawn,1993,323616
